gid	gname	t0	t5	t10	t15	t20	t25	t30	t35	t40	t45	t50	t55	t60	t65	t70	t75	t80	t85	t90	t95	t100	t105	t110	t115	t120
YOR341W	RPA190	-0.04091	0.0385	0.09037	0.1165	0.1095	0.08051	0.05956	0.06109	0.07668	0.102	0.1337	0.154	0.1366	0.06423	-0.03665	-0.127	-0.1839	-0.221	-0.2533	-0.294	-0.3295	-0.335	-0.3039	-0.2428	-0.1467
YOR342C		-0.6293	-0.4247	-0.2348	-0.07633	0.03515	0.07772	0.0254	-0.1503	-0.3749	-0.5196	-0.518	-0.4276	-0.3054	-0.1609	-0.01731	0.04743	-0.002001	-0.1178	-0.2533	-0.3998	-0.5462	-0.6416	-0.6727	-0.6558	-0.5843
YOR344C	TYE7	-0.5374	-0.7872	-0.9941	-1.149	-1.239	-1.266	-1.243	-1.16	-1.053	-1.004	-1.044	-1.121	-1.195	-1.253	-1.3	-1.314	-1.267	-1.189	-1.15	-1.205	-1.3	-1.339	-1.293	-1.191	-1.023
YOR346W	REV1	-0.417	-0.4637	-0.5081	-0.5412	-0.5575	-0.5476	-0.4971	-0.3856	-0.2566	-0.1913	-0.2383	-0.3437	-0.4355	-0.4663	-0.4644	-0.4707	-0.5405	-0.6389	-0.6726	-0.5776	-0.4179	-0.2924	-0.2311	-0.2109	-0.2507
YOR347C	PYK2	0.5318	0.6139	0.6052	0.5268	0.3611	0.1456	-0.01546	-0.08213	-0.1022	-0.103	-0.08131	-0.0327	0.01665	0.05526	0.0837	0.09396	0.08105	0.0465	-0.007927	-0.09222	-0.1807	-0.2183	-0.1896	-0.1144	0.01021
YOR348C	PUT4	0.08694	-0.0159	-0.1066	-0.1812	-0.2375	-0.271	-0.2742	-0.2543	-0.223	-0.18	-0.1015	0.003358	0.08627	0.1106	0.09566	0.07682	0.07472	0.08827	0.1203	0.1667	0.2307	0.3261	0.4569	0.6179	0.8094
YOR349W	CIN1	0.04512	0.01911	0.0002462	-0.01327	-0.02615	-0.03887	-0.04689	-0.04554	-0.03612	-0.02304	-0.005242	0.01024	0.006827	-0.02233	-0.05796	-0.07745	-0.06891	-0.04332	-0.01238	0.02029	0.0569	0.09447	0.1311	0.1657	0.1968
YOR350C	MNE1	0.2211	0.1563	0.1001	0.05433	0.01716	-0.006939	-0.006442	0.02559	0.07484	0.121	0.1585	0.1898	0.2063	0.1995	0.1786	0.1616	0.1565	0.1584	0.1662	0.1787	0.1926	0.2039	0.2125	0.2212	0.2296
YOR351C	MEK1	0.1085	0.06852	0.03829	0.01666	0.007381	0.007553	0.006055	-0.002474	-0.01076	-0.01098	-0.003141	0.007071	0.01899	0.04046	0.07164	0.1003	0.113	0.1128	0.1127	0.122	0.1343	0.1383	0.1299	0.1099	0.07446
YOR352W		0.2275	0.258	0.2756	0.281	0.2728	0.2528	0.2258	0.1841	0.135	0.1057	0.1122	0.1399	0.17	0.1945	0.216	0.2316	0.2427	0.2505	0.2515	0.2425	0.2267	0.2101	0.1945	0.1782	0.162
