gid	gname	t0	t5	t10	t15	t20	t25	t30	t35	t40	t45	t50	t55	t60	t65	t70	t75	t80	t85	t90	t95	t100	t105	t110	t115	t120
YBR023C	CHS3	0.7952	0.6652	0.5283	0.3863	0.2406	0.1029	-0.008977	-0.09694	-0.1731	-0.235	-0.3033	-0.3659	-0.3709	-0.2666	-0.099	0.03721	0.09475	0.09924	0.06558	-0.006267	-0.0944	-0.1511	-0.1633	-0.1478	-0.1017
YBR024W	SCO2	0.1196	0.06367	0.01846	-0.01744	-0.03959	-0.05274	-0.07218	-0.1054	-0.1454	-0.1853	-0.2252	-0.257	-0.2621	-0.2168	-0.1403	-0.07878	-0.06724	-0.08921	-0.1132	-0.1176	-0.1103	-0.1042	-0.1057	-0.1191	-0.1543
YBR025C		-0.04555	-0.1713	-0.2575	-0.3014	-0.2766	-0.1994	-0.131	-0.1149	-0.1372	-0.1731	-0.1957	-0.2011	-0.1983	-0.2135	-0.2461	-0.2661	-0.233	-0.1676	-0.1316	-0.171	-0.2571	-0.339	-0.3964	-0.4339	-0.4384
YBR026C	MRF1	0.5178	0.492	0.4475	0.3845	0.2942	0.1812	0.06544	-0.05775	-0.1813	-0.2675	-0.2891	-0.2553	-0.1829	-0.07408	0.04741	0.1325	0.1653	0.1706	0.16	0.1279	0.08393	0.06282	0.07456	0.1077	0.1651
YBR028C		-0.302	-0.3259	-0.3097	-0.2613	-0.1665	-0.04274	0.05419	0.105	0.1241	0.1062	0.03039	-0.08341	-0.1787	-0.2305	-0.2464	-0.2184	-0.1218	0.005521	0.07809	0.04801	-0.03358	-0.1038	-0.1444	-0.1729	-0.1802
YBR029C	CDS1	0.1087	0.04776	0.001153	-0.02848	-0.02415	0.01209	0.05429	0.08067	0.08884	0.08194	0.06056	0.02541	-0.02014	-0.08554	-0.1578	-0.1999	-0.1905	-0.1548	-0.1256	-0.1076	-0.09091	-0.08612	-0.09777	-0.1252	-0.171
YBR030W		-0.08787	-0.2131	-0.2901	-0.325	-0.3044	-0.2429	-0.1893	-0.1584	-0.1353	-0.1238	-0.1341	-0.1656	-0.2062	-0.2462	-0.2761	-0.2837	-0.2722	-0.2532	-0.2272	-0.1836	-0.127	-0.081	-0.05433	-0.04434	-0.05703
YBR031W	RPL4A	-0.2857	-0.2202	-0.1649	-0.1161	-0.05812	0.004964	0.04669	0.02236	-0.04951	-0.1006	-0.0831	-0.02298	0.03718	0.06408	0.06675	0.06622	0.08326	0.1113	0.1304	0.1287	0.1287	0.1619	0.2363	0.3413	0.4808
YBR033W		-0.04069	-0.1116	-0.1547	-0.174	-0.1637	-0.1296	-0.09347	-0.05705	-0.02168	-0.008115	-0.03837	-0.09697	-0.1484	-0.1743	-0.1832	-0.1806	-0.1693	-0.1492	-0.1216	-0.07771	-0.03241	-0.02239	-0.05713	-0.1228	-0.2212
YBR034C	HMT1	-0.3566	-0.6728	-0.8742	-0.9762	-0.9466	-0.816	-0.6935	-0.6189	-0.5647	-0.5393	-0.568	-0.6322	-0.6745	-0.6593	-0.6202	-0.604	-0.6301	-0.6756	-0.7223	-0.7672	-0.8085	-0.8311	-0.8319	-0.8135	-0.7697
YBR035C	PDX3	0.197	0.1998	0.1973	0.1944	0.2003	0.2112	0.2123	0.1861	0.1415	0.104	0.0979	0.1212	0.1587	0.2005	0.2371	0.254	0.2271	0.1823	0.1805	0.2647	0.3861	0.4669	0.4845	0.4606	0.384
YBR036C	CSG2	0.1804	0.1534	0.1275	0.1065	0.09379	0.09006	0.09476	0.106	0.1203	0.1342	0.1571	0.1821	0.1812	0.1296	0.05169	-0.006584	-0.01105	0.01247	0.02019	-0.01774	-0.06775	-0.0786	-0.03595	0.04613	0.1763
YBR037C	SCO1	0.08069	0.03514	0.01603	0.01835	0.04113	0.07715	0.112	0.1438	0.1803	0.2216	0.2757	0.3362	0.3817	0.4049	0.4082	0.3847	0.3151	0.2266	0.1824	0.215	0.2807	0.3288	0.3445	0.3419	0.3129
YBR038W	CHS2	-0.9844	-1.262	-1.43	-1.491	-1.454	-1.316	-1.054	-0.5914	0.007346	0.5542	1.002	1.337	1.423	1.145	0.6373	0.1422	-0.2654	-0.5882	-0.7027	-0.5302	-0.1857	0.1639	0.4669	0.7745	1.074
YBR039W	ATP3	-0.2409	-0.004358	0.1797	0.3112	0.3709	0.367	0.3407	0.3016	0.2573	0.2463	0.2944	0.373	0.4387	0.4776	0.5004	0.5004	0.4833	0.4506	0.3895	0.2741	0.1408	0.07051	0.08682	0.1661	0.3181
YBR040W	FIG1	4.98	3.799	2.797	1.992	1.467	1.212	1.103	1.068	1.081	1.09	1.104	1.129	1.108	0.9933	0.8238	0.6748	0.5933	0.5477	0.495	0.4095	0.3186	0.2586	0.2394	0.2491	0.2907
YBR041W	FAT1	-0.02884	0.1807	0.3275	0.4138	0.4233	0.3694	0.2976	0.2203	0.1327	0.05436	-0.01418	-0.06927	-0.08669	-0.04432	0.03544	0.11	0.1789	0.2391	0.2444	0.1524	0.008444	-0.1023	-0.153	-0.165	-0.1255
YBR042C		-0.1921	-0.03563	0.08812	0.1774	0.2235	0.2242	0.188	0.1143	0.01849	-0.06655	-0.1268	-0.161	-0.1552	-0.09909	-0.01984	0.03942	0.06903	0.0821	0.06964	0.01535	-0.05845	-0.1027	-0.1029	-0.07136	0.0001351
YBR043C		0.0973	-0.006179	-0.06897	-0.09405	-0.0676	-0.003426	0.05402	0.08637	0.1066	0.1175	0.1209	0.1154	0.09875	0.06085	0.01473	-0.007131	0.01435	0.06128	0.1106	0.1619	0.2113	0.231	0.2126	0.1657	0.08929
YBR044C	TCM62	-0.007997	-0.04545	-0.069	-0.07879	-0.07036	-0.04574	-0.01484	0.01623	0.0488	0.08415	0.1338	0.19	0.2248	0.2172	0.1794	0.1338	0.09486	0.06251	0.0371	0.01498	-0.002097	-0.005785	0.005656	0.03006	0.06993
YBR046C	ZTA1	0.7039	0.7868	0.8015	0.7581	0.6259	0.4344	0.2851	0.2292	0.2243	0.2312	0.2341	0.2419	0.2519	0.2657	0.2822	0.295	0.3045	0.3106	0.3063	0.2867	0.2579	0.2296	0.2045	0.1787	0.1523
YBR047W		0.1731	0.1857	0.1908	0.1912	0.1843	0.1724	0.1654	0.1736	0.1932	0.213	0.2317	0.2474	0.2473	0.22	0.1806	0.1565	0.1555	0.1662	0.1873	0.2211	0.2587	0.281	0.2827	0.2697	0.2393
YBR048W	RPS11B	-0.04617	-0.1242	-0.1647	-0.1757	-0.1405	-0.06986	-0.01273	-0.007634	-0.03078	-0.03776	-0.01805	0.01266	0.05942	0.1241	0.1823	0.1994	0.1701	0.1138	0.03331	-0.07889	-0.1932	-0.2513	-0.2365	-0.164	-0.02316
YBR049C	REB1	-0.6703	-0.6984	-0.6647	-0.5801	-0.4262	-0.2236	-0.04229	0.1056	0.2383	0.3316	0.3548	0.3145	0.2429	0.1436	0.03768	-0.01668	0.04137	0.1504	0.1849	0.05275	-0.1772	-0.3887	-0.5378	-0.6378	-0.6585
YBR052C		0.1162	0.003347	-0.09947	-0.1942	-0.2911	-0.3857	-0.4578	-0.5004	-0.515	-0.4945	-0.4234	-0.3152	-0.2065	-0.1054	-0.01502	0.03693	0.01252	-0.04955	-0.06231	0.02743	0.1627	0.2651	0.312	0.3231	0.283
YBR053C		0.4998	0.594	0.6103	0.5607	0.4255	0.2298	0.05278	-0.0838	-0.1954	-0.259	-0.2478	-0.1753	-0.07903	0.03091	0.1406	0.2064	0.1888	0.1264	0.09272	0.1271	0.1983	0.2741	0.3428	0.4066	0.4545
YBR055C	PRP6	0.08759	0.08578	0.08166	0.07314	0.05477	0.02785	0.0004972	-0.02065	-0.02917	-0.01723	0.02305	0.07712	0.1192	0.1384	0.1363	0.1052	0.02333	-0.0825	-0.1463	-0.1366	-0.08715	-0.03013	0.02496	0.08698	0.1513
YBR056W		1.304	1.2	1.05	0.867	0.632	0.3704	0.1597	0.02717	-0.05935	-0.1119	-0.1166	-0.07296	-0.01262	0.0528	0.1153	0.1486	0.1368	0.105	0.08811	0.1003	0.1286	0.1669	0.2121	0.2609	0.3076
YBR057C	MUM2	0.0963	-0.07813	-0.1956	-0.2635	-0.2701	-0.2317	-0.1975	-0.1804	-0.1651	-0.1582	-0.1663	-0.1845	-0.2026	-0.2151	-0.2217	-0.2189	-0.2116	-0.2008	-0.1775	-0.1319	-0.07926	-0.04907	-0.04953	-0.07237	-0.1222
YBR058C	UBP14	0.502	0.3192	0.1901	0.106	0.07318	0.07739	0.07938	0.06086	0.03977	0.03113	0.04375	0.06395	0.073	0.06521	0.04918	0.02753	0.001885	-0.02656	-0.05579	-0.08229	-0.09535	-0.08212	-0.04232	0.01492	0.0883
YBR059C		0.5352	0.4565	0.3644	0.2654	0.1518	0.03396	-0.055	-0.1068	-0.1276	-0.1058	-0.005501	0.1455	0.2637	0.3001	0.2794	0.2284	0.1593	0.08257	0.02243	-0.02021	-0.04075	-0.009438	0.08024	0.2165	0.4015
YBR060C	ORC2	-0.1914	-0.1946	-0.1856	-0.1683	-0.1412	-0.1102	-0.0898	-0.08242	-0.07509	-0.05975	-0.03463	-0.01662	-0.02559	-0.07395	-0.1358	-0.1735	-0.1805	-0.1734	-0.1493	-0.09249	-0.01538	0.04309	0.07008	0.07315	0.04393
YBR061C		0.02099	-0.05331	-0.09983	-0.1232	-0.1175	-0.0892	-0.06183	-0.04586	-0.03079	-0.008551	0.02983	0.06692	0.07121	0.01779	-0.06545	-0.1309	-0.1483	-0.1356	-0.1172	-0.1062	-0.09872	-0.09296	-0.08754	-0.07943	-0.06464
YBR062C		0.1383	0.1147	0.1015	0.09507	0.09655	0.1062	0.1189	0.1353	0.1499	0.1485	0.1115	0.04095	-0.04469	-0.1348	-0.2105	-0.2405	-0.2018	-0.1204	-0.03886	0.02609	0.07657	0.0984	0.08935	0.05654	-0.0001127
YBR063C		0.1768	0.06796	0.003597	-0.02374	-0.007409	0.0401	0.08266	0.108	0.1274	0.1402	0.1465	0.1447	0.1318	0.1004	0.05654	0.01723	-0.00145	0.002222	0.02389	0.06359	0.1064	0.1256	0.1139	0.0826	0.03286
YBR064W		0.108	0.01389	-0.04426	-0.0702	-0.0493	0.004339	0.04384	0.04433	0.02865	0.02151	0.04424	0.08098	0.1006	0.07656	0.02745	-0.01004	-0.005025	0.018	0.01267	-0.05641	-0.1465	-0.1868	-0.1584	-0.08539	0.03906
YBR065C	ECM2	-0.05737	-0.06223	-0.05828	-0.04584	-0.0131	0.03372	0.06718	0.07124	0.06054	0.05371	0.063	0.07958	0.09048	0.08943	0.08252	0.07533	0.06772	0.05227	0.02369	-0.02968	-0.1046	-0.1841	-0.2611	-0.3387	-0.4151
YBR067C	TIP1	0.6889	0.9021	0.9555	0.8774	0.6455	0.3083	0.0008106	-0.2959	-0.5997	-0.7748	-0.6916	-0.4159	-0.1045	0.1675	0.3649	0.3905	0.1857	-0.1352	-0.4094	-0.5876	-0.6923	-0.6692	-0.5062	-0.2296	0.1571
YBR068C	BAP2	-0.4062	-0.2648	-0.1814	-0.1432	-0.1491	-0.1741	-0.1694	-0.1168	-0.05274	-0.009769	-0.009388	-0.04057	-0.08722	-0.1517	-0.2178	-0.2421	-0.1731	-0.06345	-0.02586	-0.1319	-0.2978	-0.403	-0.4127	-0.3604	-0.2287
YBR069C	VAP1	-0.726	-0.6374	-0.5989	-0.5947	-0.6446	-0.7182	-0.7235	-0.6089	-0.4312	-0.2614	-0.1123	0.03137	0.1402	0.189	0.1813	0.1315	0.03489	-0.08131	-0.1554	-0.1599	-0.1257	-0.07853	-0.02703	0.03616	0.1095
YBR070C		-1.348	-0.4452	0.2425	0.7115	0.8957	0.8215	0.6238	0.3377	-0.0178	-0.3313	-0.5815	-0.7526	-0.7422	-0.45	-0.01241	0.3176	0.4145	0.3813	0.3079	0.2328	0.1395	0.0357	-0.07758	-0.2087	-0.3636
YBR071W		-1.151	-0.1344	0.55	0.9238	0.8809	0.5004	0.08166	-0.2896	-0.6516	-0.891	-0.9211	-0.7455	-0.3866	0.2006	0.8389	1.172	1.03	0.6356	0.2214	-0.1785	-0.5694	-0.7782	-0.7549	-0.5525	-0.1517
YBR072W	HSP26	0.2829	0.5041	0.6392	0.694	0.6379	0.4927	0.3429	0.2244	0.1206	0.03628	-0.02805	-0.06408	-0.05538	0.009618	0.09779	0.1586	0.1723	0.1642	0.1514	0.1366	0.1143	0.08936	0.06461	0.04082	0.0194
YBR073W	RDH54	-0.8004	-0.1814	0.273	0.5606	0.6207	0.4791	0.263	0.02743	-0.2312	-0.4732	-0.7174	-0.9221	-0.957	-0.7156	-0.3328	-0.04118	0.05656	0.0509	-0.0003468	-0.08395	-0.1929	-0.2789	-0.3285	-0.3559	-0.3536
YBR074W		-0.3478	-0.1967	-0.0917	-0.02896	-0.0159	-0.03808	-0.05915	-0.07074	-0.07513	-0.05185	0.01234	0.09566	0.166	0.2059	0.2172	0.1972	0.1831	0.1616	0.05394	-0.2249	-0.5925	-0.8769	-1.022	-1.063	-0.9639
YBR075W		0.06947	0.06831	0.05799	0.03895	0.002885	-0.04417	-0.0803	-0.09397	-0.08802	-0.06217	-0.0119	0.04541	0.07729	0.06698	0.0316	-0.01054	-0.05889	-0.1051	-0.1191	-0.07921	-0.01157	0.04245	0.07	0.08258	0.07531
YBR076W	ECM8	0.04106	-0.01346	-0.06569	-0.1079	-0.1357	-0.1454	-0.1304	-0.08507	-0.0336	-0.01488	-0.04247	-0.08428	-0.1106	-0.1109	-0.09886	-0.08148	-0.06543	-0.04252	0.002639	0.0917	0.1923	0.239	0.212	0.1292	-0.01904
YBR078W	ECM33	-0.1602	-0.1167	-0.04269	0.05584	0.1983	0.3666	0.4985	0.5648	0.5865	0.5771	0.5356	0.4646	0.3827	0.2791	0.1743	0.1343	0.241	0.4247	0.5231	0.4387	0.2676	0.1387	0.09064	0.09361	0.1734
YBR079C	RPG1	-0.1095	-0.1781	-0.2226	-0.2428	-0.2287	-0.1883	-0.1488	-0.1214	-0.1035	-0.1006	-0.1122	-0.1318	-0.156	-0.1892	-0.2227	-0.2339	-0.2045	-0.1517	-0.1062	-0.07466	-0.05107	-0.04758	-0.0691	-0.1138	-0.1838
YBR080C	SEC18	0.1975	0.2289	0.2423	0.2401	0.2266	0.2032	0.1681	0.103	0.01757	-0.04753	-0.06417	-0.04468	-0.009358	0.03309	0.0758	0.1012	0.1091	0.1034	0.07301	-0.00323	-0.09983	-0.1578	-0.1594	-0.1225	-0.04141
YBR081C	SPT7	-0.1024	-0.137	-0.1485	-0.143	-0.1197	-0.08429	-0.05248	-0.0249	0.004079	0.02819	0.03562	0.02547	0.007819	-0.02027	-0.0521	-0.06313	-0.03111	0.02211	0.05485	0.05118	0.03685	0.03279	0.04288	0.05962	0.08697
YBR082C	UBC4	0.4728	0.27	0.1488	0.09962	0.1497	0.2671	0.3535	0.3657	0.3423	0.307	0.2707	0.2274	0.176	0.102	0.01916	-0.03071	-0.01813	0.03537	0.09492	0.1456	0.1855	0.1991	0.1842	0.1518	0.1068
YBR083W	TEC1	1.055	0.4159	-0.08055	-0.4367	-0.601	-0.6031	-0.567	-0.5848	-0.6146	-0.5801	-0.3907	-0.07481	0.2657	0.606	0.8933	0.9841	0.7777	0.4118	0.1008	-0.105	-0.2388	-0.2122	-0.00121	0.3609	0.8766
YBR084C-A	RPL19A	0.1163	0.09081	0.05802	0.02071	-0.03184	-0.08906	-0.1162	-0.09092	-0.03536	0.01829	0.06065	0.09695	0.1169	0.112	0.0896	0.06298	0.03162	-3.578e-05	-0.01116	0.0184	0.07144	0.1128	0.1306	0.1322	0.1107
YBR084W	MIS1	-0.4069	-0.3272	-0.2565	-0.1958	-0.1442	-0.1016	-0.07024	-0.05378	-0.05038	-0.05407	-0.06459	-0.08736	-0.1249	-0.1841	-0.2494	-0.2903	-0.2972	-0.2783	-0.229	-0.1369	-0.03332	0.02161	0.01263	-0.03955	-0.1413
YBR085W	AAC3	-0.1746	0.01892	0.169	0.28	0.3457	0.3719	0.3816	0.3767	0.36	0.3559	0.3864	0.4414	0.4973	0.5412	0.5695	0.5733	0.5534	0.5204	0.4803	0.4248	0.3598	0.3127	0.2925	0.2942	0.3235
YBR086C		-0.2377	-0.1892	-0.1429	-0.09668	-0.05255	-0.007407	0.04821	0.1435	0.2604	0.3372	0.339	0.2785	0.1662	-0.01915	-0.2289	-0.3471	-0.2979	-0.157	-0.03597	0.01963	0.05041	0.07417	0.09542	0.1111	0.1278
YBR087W	RFC5	-0.6423	-0.2987	-0.02048	0.1856	0.2966	0.3151	0.2726	0.1794	0.06136	-0.02647	-0.07016	-0.09247	-0.09353	-0.06468	-0.01602	0.02427	0.04908	0.05946	0.03943	-0.02465	-0.1101	-0.1786	-0.2186	-0.2414	-0.2419
YBR088C	POL30	-1.4	-0.3521	0.4411	0.9682	1.147	1.006	0.6966	0.2445	-0.3158	-0.8166	-1.234	-1.537	-1.544	-1.075	-0.3599	0.164	0.273	0.157	0.001395	-0.1169	-0.2345	-0.337	-0.4236	-0.5097	-0.6053
YBR089W		-1.823	-0.6083	0.3276	0.9683	1.246	1.175	0.8626	0.2813	-0.4718	-1.103	-1.529	-1.767	-1.68	-1.095	-0.2554	0.3547	0.5028	0.3852	0.1607	-0.1309	-0.4723	-0.7384	-0.8963	-0.9931	-1.024
YBR090C-A		0.185	0.139	0.1015	0.07195	0.04124	0.01354	0.008127	0.05234	0.126	0.1771	0.1764	0.1431	0.09741	0.04266	-0.009224	-0.02475	0.02742	0.113	0.1668	0.1442	0.08396	0.04688	0.05129	0.08167	0.148
YBR092C	PHO3	-0.675	-0.315	-0.124	-0.08113	-0.2707	-0.6167	-0.857	-0.8573	-0.6737	-0.3299	0.2396	0.8748	1.214	1.058	0.6057	0.09177	-0.4564	-1.004	-1.306	-1.226	-0.9043	-0.5111	-0.1038	0.3559	0.8407
YBR093C	PHO5	-0.6873	-0.3226	-0.1229	-0.06835	-0.2438	-0.5769	-0.8114	-0.8137	-0.635	-0.2966	0.2667	0.8906	1.209	1.023	0.5438	0.02149	-0.5037	-1.016	-1.302	-1.242	-0.9435	-0.5367	-0.06906	0.4825	1.094
YBR094W		-0.1662	-0.2139	-0.2433	-0.2563	-0.2519	-0.2315	-0.2007	-0.1545	-0.09115	-0.02101	0.05703	0.1233	0.1365	0.07038	-0.03419	-0.1177	-0.1694	-0.2024	-0.1925	-0.1131	0.004708	0.09774	0.1464	0.1653	0.1423
YBR095C		0.1297	0.06174	-0.003755	-0.06223	-0.1165	-0.1584	-0.1667	-0.1253	-0.05634	0.003829	0.03903	0.05289	0.03855	-0.009467	-0.07142	-0.1163	-0.134	-0.1343	-0.1164	-0.07003	-0.009947	0.02698	0.02926	0.007234	-0.04315
YBR096W		0.4848	0.5435	0.5636	0.5511	0.4977	0.4149	0.3385	0.2803	0.2281	0.181	0.1425	0.1143	0.09379	0.06691	0.03182	0.004071	-0.007389	0.001777	0.04015	0.1236	0.2294	0.3081	0.3451	0.3565	0.3389
YBR097W	VPS15	0.1728	0.06785	-0.01517	-0.07689	-0.1214	-0.1512	-0.1649	-0.1498	-0.1115	-0.07582	-0.05259	-0.03426	-0.02028	-0.003935	0.01785	0.04015	0.05595	0.066	0.07704	0.09689	0.1233	0.1477	0.1655	0.1753	0.1735
YBR098W		-0.2451	-0.04277	0.1084	0.2067	0.2295	0.188	0.1304	0.07825	0.03378	0.01698	0.02993	0.05079	0.06355	0.06929	0.07818	0.08777	0.09485	0.09358	0.07767	0.03568	-0.01925	-0.05653	-0.06436	-0.04914	-0.007528
YBR099C		-0.2591	-0.1287	-0.03386	0.02386	0.02564	-0.0215	-0.08023	-0.1326	-0.1742	-0.1881	-0.16	-0.1104	-0.07508	-0.07246	-0.08389	-0.08925	-0.08127	-0.06363	-0.03258	0.006535	0.0437	0.07568	0.1041	0.1335	0.1653
YBR100W		-0.1576	-0.08078	-0.02574	0.008643	0.01185	-0.01248	-0.04199	-0.06907	-0.09266	-0.1002	-0.07912	-0.04149	-0.01173	-0.0008515	0.0023	0.006565	0.01999	0.03943	0.0569	0.06328	0.06056	0.05747	0.05774	0.06179	0.07342
YBR101C		-0.1873	-0.002386	0.1402	0.2392	0.278	0.2614	0.221	0.1748	0.1262	0.08476	0.04909	0.01354	-0.01853	-0.04258	-0.05674	-0.06163	-0.05413	-0.04315	-0.04742	-0.08428	-0.1333	-0.1564	-0.1432	-0.105	-0.03639
YBR102C		-0.03305	-0.03956	-0.03537	-0.02238	0.004534	0.04125	0.07203	0.08501	0.08302	0.07239	0.04775	0.0157	0.000512	0.02453	0.07022	0.102	0.09711	0.06719	0.02833	-0.00607	-0.02692	-0.02459	0.001195	0.04184	0.09363
YBR103W		-0.001858	-0.0847	-0.1139	-0.1017	-0.02304	0.09557	0.1647	0.1204	0.01255	-0.07713	-0.1154	-0.1325	-0.1419	-0.1548	-0.1602	-0.1388	-0.06274	0.04178	0.1124	0.1223	0.104	0.0837	0.06786	0.04692	0.0231
YBR104W	YMC2	0.1446	0.04912	0.0005381	-0.009148	0.0425	0.1322	0.1833	0.1539	0.07649	-0.01436	-0.1235	-0.2514	-0.3566	-0.4079	-0.4033	-0.3461	-0.2178	-0.06202	0.02544	0.009988	-0.04946	-0.1087	-0.1582	-0.2155	-0.2761
YBR105C	VID24	0.1423	0.07974	0.0298	-0.01056	-0.04687	-0.08194	-0.1147	-0.1392	-0.1513	-0.1526	-0.1404	-0.1307	-0.1531	-0.2294	-0.3304	-0.4093	-0.4453	-0.459	-0.4656	-0.464	-0.4457	-0.4156	-0.3787	-0.3403	-0.3047
YBR106W	PHO88	-0.01233	-0.01471	0.003586	0.0372	0.09691	0.1682	0.2078	0.1843	0.1235	0.06828	0.04024	0.0278	0.02401	0.01692	0.009553	0.01744	0.05215	0.1035	0.1547	0.2038	0.2501	0.2784	0.2849	0.275	0.2474
YBR108W		0.133	0.2166	0.2571	0.2607	0.2164	0.1363	0.06225	-0.0007919	-0.0555	-0.07202	-0.02051	0.06833	0.1335	0.1457	0.1309	0.111	0.1002	0.09257	0.07963	0.04917	0.01059	-0.01211	-0.01037	0.01129	0.05727
YBR109C	CMD1	0.09295	0.1851	0.2343	0.247	0.2099	0.1374	0.07725	0.05283	0.04941	0.05814	0.07628	0.09561	0.09907	0.07864	0.05083	0.0353	0.04141	0.05413	0.05659	0.04349	0.02599	0.01192	0.003359	-0.002337	-0.004408
YBR110W	ALG1	0.01724	0.04488	0.06251	0.07153	0.06753	0.05459	0.04688	0.05668	0.07847	0.09963	0.1191	0.1322	0.1211	0.06577	-0.0119	-0.06693	-0.07995	-0.06762	-0.03905	0.004207	0.05301	0.08682	0.1002	0.09958	0.08217
YBR111C	YSA1	0.2701	0.2798	0.2694	0.2425	0.1953	0.133	0.07262	0.01704	-0.03594	-0.0768	-0.09173	-0.07969	-0.05027	-0.01502	0.01541	0.0328	0.03037	0.02765	0.05581	0.1341	0.2281	0.2885	0.3022	0.2853	0.2327
YBR112C	CYC8	-0.242	-0.1632	-0.08073	-0.001685	0.08098	0.1538	0.1791	0.1302	0.03602	-0.05733	-0.1456	-0.2308	-0.2759	-0.2544	-0.1917	-0.1295	-0.07907	-0.03892	-0.03218	-0.07377	-0.1353	-0.1749	-0.18	-0.1614	-0.1124
YBR113W		-0.2007	-0.2064	-0.1693	-0.1045	-0.0003551	0.1177	0.1791	0.1543	0.0875	0.01858	-0.05044	-0.1192	-0.1503	-0.1103	-0.02856	0.03752	0.06537	0.06251	0.01677	-0.08052	-0.2101	-0.3424	-0.4693	-0.6026	-0.7422
YBR114W	RAD16	-0.008382	-0.1794	-0.3024	-0.3829	-0.4134	-0.4058	-0.3954	-0.3914	-0.3881	-0.3984	-0.4317	-0.4698	-0.4836	-0.4585	-0.4186	-0.3928	-0.3991	-0.4213	-0.4368	-0.4293	-0.4085	-0.3912	-0.3834	-0.3825	-0.392
YBR115C	LYS2	0.5194	0.4105	0.3273	0.2692	0.2426	0.2397	0.2397	0.2387	0.2394	0.2308	0.2088	0.1852	0.173	0.1749	0.1778	0.1713	0.1509	0.1209	0.08397	0.03617	-0.006834	-0.01308	0.02502	0.09583	0.2025
YBR116C		-0.07039	0.0401	0.1123	0.1499	0.1413	0.09913	0.06298	0.05116	0.04986	0.05059	0.04604	0.03965	0.03915	0.05163	0.07278	0.09316	0.119	0.1448	0.1431	0.0924	0.02386	-0.0108	0.002261	0.04752	0.1327
YBR117C	TKL2	-0.1707	-0.1308	-0.09665	-0.0692	-0.05306	-0.04577	-0.03792	-0.01612	0.01593	0.04203	0.04592	0.0283	-0.001582	-0.04041	-0.07809	-0.09527	-0.07376	-0.03627	-0.02471	-0.06026	-0.1147	-0.156	-0.1758	-0.1834	-0.1729
YBR118W	TEF2	-0.4361	-0.3012	-0.2164	-0.1753	-0.1867	-0.2341	-0.2728	-0.2882	-0.2947	-0.2914	-0.2772	-0.2626	-0.264	-0.2868	-0.3145	-0.3319	-0.3264	-0.3152	-0.3274	-0.3824	-0.4423	-0.4501	-0.3919	-0.29	-0.1412
YBR119W	MUD1	-0.01706	0.009234	0.01577	0.007457	-0.02352	-0.06544	-0.08416	-0.05712	-0.00786	0.02863	0.03751	0.03179	0.01826	0.002982	-0.01327	-0.03158	-0.05795	-0.08728	-0.104	-0.09895	-0.08151	-0.06394	-0.05084	-0.04142	-0.03976
YBR120C	CBP6	-0.1212	-0.05587	-0.01657	0.001005	-0.01351	-0.04722	-0.06087	-0.03425	0.008373	0.03955	0.04311	0.03523	0.03699	0.05696	0.07952	0.08943	0.07866	0.06112	0.05449	0.06702	0.08454	0.09104	0.08335	0.06945	0.05012
YBR121C	GRS1	-0.06196	-0.08102	-0.1052	-0.1287	-0.1511	-0.166	-0.1585	-0.1217	-0.07454	-0.04131	-0.02625	-0.01918	-0.02276	-0.04149	-0.07139	-0.1025	-0.1293	-0.1542	-0.1783	-0.2022	-0.2137	-0.1955	-0.1454	-0.07355	0.01926
YBR122C	MRPL36	-0.3194	-0.3388	-0.3361	-0.317	-0.2767	-0.2238	-0.184	-0.1779	-0.1897	-0.1911	-0.163	-0.1119	-0.04812	0.02817	0.09949	0.13	0.09021	0.01174	-0.0491	-0.06986	-0.07202	-0.06515	-0.05171	-0.03131	-0.009139
YBR123C	TFC1	-0.4293	-0.5103	-0.5348	-0.5046	-0.3971	-0.2308	-0.06924	0.06162	0.1676	0.233	0.2566	0.2468	0.2019	0.105	-0.01378	-0.08527	-0.06603	0.001665	0.05835	0.07994	0.09014	0.1011	0.1145	0.1247	0.1323
YBR125C		0.4047	0.2908	0.2009	0.1325	0.0873	0.05973	0.03637	0.007548	-0.01328	-0.004868	0.06201	0.157	0.212	0.1879	0.1205	0.05389	0.01567	-0.003236	-0.01343	-0.02788	-0.04578	-0.0571	-0.0578	-0.04815	-0.02454
YBR126C	TPS1	0.2166	0.2591	0.2365	0.1649	0.02619	-0.1518	-0.2843	-0.3479	-0.3779	-0.3775	-0.325	-0.2176	-0.08699	0.04867	0.1667	0.2287	0.2133	0.1572	0.1094	0.0853	0.07856	0.1052	0.1685	0.2612	0.3826
YBR127C	VMA2	0.2489	0.1693	0.1081	0.06582	0.06106	0.08287	0.08773	0.03899	-0.04196	-0.1116	-0.1455	-0.1541	-0.1461	-0.1253	-0.09911	-0.08154	-0.09127	-0.1101	-0.09663	-0.01148	0.111	0.2015	0.2394	0.242	0.1974
YBR128C	APG14	-0.05632	-0.0701	-0.09393	-0.1262	-0.1801	-0.2444	-0.2812	-0.2648	-0.2141	-0.1586	-0.1112	-0.07327	-0.05649	-0.06706	-0.08916	-0.1016	-0.09098	-0.06686	-0.04293	-0.023	-0.006801	-0.001933	-0.009813	-0.02679	-0.05283
